-9.79798,98.1628,
-9.49495,81.4567,
-9.19192,65.9806,
-8.88889,51.701,
-8.58586,38.5845,
-8.33333,28.5185,
-8.08081,19.2178,
-7.82828,10.6629,
-7.57576,2.83468,
-7.52525,1.35452,
-7.47475,-0.097506,
-7.42424,-1.52155,
-7.37374,-2.91777,
-6.66667,-19.6296,
-5.9596,-31.342,
-5.25253,-38.4791,
-4.54545,-41.4651,
-4.39394,-41.6056,
-4.24242,-41.5792,
-4.09091,-41.3899,
-3.93939,-41.0421,
-2.82828,-34.0417,
-1.71717,-20.3821,
-0.606061,-1.70938,
0.505051,20.3303,
0.959596,29.936,
1.41414,39.717,
1.86869,49.5606,
2.32323,59.3542,
2.92929,72.1395,
3.53535,84.3683,
4.14141,95.7735,
4.74747,106.088,
5.75758,120.129,
6.76768,129.161,
7.77778,131.948,
8.78788,127.252,
